abandon         (v) bỏ, từ bỏ
alternative             (n) (adj) sự lựa chọn; lựa chọn
altogether              (adv) hoàn toàn, hầu như; nói chung
always          (adv) luôn luôn
amaze           (v) làm ngạc nhiên, làm sửng sốt
ambition                (n) hoài bão, khát vọng
ambulance               (n) xe cứu thương, xe cấp cứu
among           (prep) giữa, ở giữa
amount          (n) (v) số lượng, số nhiều; lên tới (money)
amuse           (v) làm cho vui, thích, làm buồn cười,thích thú
analysis                (n) sự phân tích
ancient         (adj) xưa, cổ
and             (conj) và
angry           (adj) giận, tức giận
approve         (v) tán thành, đồng ý, chấp thuận
approximate             (+to) (adj) giống với, giống hệt với
area            (n) diện tích, bề mặt
argue           (v) tranh luận
argument                (n) lý lẽ
arise           (v) xuất hiện, nảy ra, nảy sinh ra
arm             (n) (v) cánh tay; vũ trang, trang bị (vũ khí)
army            (n) quân đội
around          (adv, prep.)xung quanh, vòng quanh
arrange         (v) sắp xếp, sắp đặt, sửa soạn
arrangement             (n) sự sắp xếp, sắp đặt, sự sửa soạn
arrest          (v) (n) bắt giữ, sự bắt giữ
arrival         (n) sự đến, sự tới nơi
arrive          (+at, in) (v) đến, tới nơi
arrow           (n) tên, mũi tên
art             (n) nghệ thuật, mỹ thuật
article         (n) bài báo, đề mục
artificial              (adj) nhân tạo
artist          (n) nghệ sĩ
artistic                (adj) thuộc nghệ thuật, thuộc mỹ thuật
as              (prep,adv, conj.) như
ashamed         (adj) ngượng, xấu hổ
aside           (adv) về một bên, sang một bên
asleep          (adj) ngủ, đang ngủ
aspect          (n) vẻ bề ngoài, diện mạo
assist          (v) giúp, giúp đỡ; tham dự, có mặt
assistance              (n) sự giúp đỡ
assistant               (n) (adj) người giúp đỡ, người phụ tá; giúp đỡ
associate               (v) kết giao, liên kết, kết hợp, cho cộng tác
assume          (v) mang, khoác, có, lấy (cái vẻ, tính chất…)
assure          (v) đảm bảo, cam đoan
atmosphere              (n) khí quyển
atom            (n) nguyên tử
attach          (v) gắn, dán, trói, buộc
attempt         (n) (v) sự cố gắng, sự thử; cố gắng, thử
attend          (v) dự, có mặt
attention               (n) sự chú ý
attitude                (n) thái độ, quan điểm
attorney                (n) người được ủy quyền
attract         (v) hút; thu hút, hấp dẫn
attraction              (n) sự hút, sức hút
attractive              (adj) hút, thu hút, có duyên, lôi cuốn
audience                (n) thính, khan giả
aunt            (n) cô, dì
automatic               (adj) tự động
autumn          (n) mùa thu (US: mùa thu là fall)
available               (adj) có thể dùng được, có giá trị, hiệu lực
average         adj., (n) trung bình, số trung bình, mức trung bình
avoid           (v) tránh, tránh xa
awake           (adj) đánh thức, làm thức dậy
award           (n) (v) phần thưởng; tặng, thưởng
aware           (adj) biết, nhận thức, nhận thức thấy
away            (adv) xa, xa cách, rời xa, đi xa
awful           (adj) oai nghiêm, dễ sợ
awkward         (adj) vụng về, lung túng
back            (n)adj., (adv)., (v) lưng, về phía sau, trở lại
background              (n) phía sau; nền
backward                (adj) về phía sau, lùi lại
bacteria                (n) vi khuẩn
bad             (adj) xấu, tồi
bag             (n) bao, túi, cặp xách
baggage         (n) hành lý
bake            (v) nung, nướng bằng lò
balance         (n) (v) cái cân; làm cho cân bằng, tương xứng
ball            (n) quả bóng
band            (n) băng, đai, nẹp
bandage         (n) (v) dải băng; băng bó
bank            (n) bờ (sông…) , đê
bar             (n) quán bán rượu
bargain         (n) sự mặc cả, sự giao kèo mua bán
barrier         (n) đặt chướng ngại vật
base            (n) (v) cơ sở, cơ bản, nền móng; đặt tên, đặt cơ sở trên cái gì
basic           (adj) cơ bản, cơ sở
basis           (n) nền tảng, cơ sở
battery         (n) pin, ắc quy
battle          (n) trận đánh, chiến thuật
bath            (n) sự tắm
bay             (n) gian (nhà), nhịp (cầu), chuồng (ngựa); bays: vòng nguyệt quế
beach           (n) bãi biển
bear            (v) mang, cầm, vác, đeo, ôm
beard           (n) râu
beat            (n) (v) tiếng đập, sự đập; đánh đập, đấm
beautiful               (adj) đẹp
beauty          (n) vẻ đẹp, cái đẹp; người đẹp
because         (conj) bởi vì, vì
become          (v) trở thành, trở nên
bed             (n) cái giường
bedroom         (n) phòng ngủ
beef            (n) thịt bò
beer            (n) rượu bia
before          prep., conj., (adv) trước, đằng trước
begin           (v) bắt đầu, khởi đầu
behalf          (n) sự thay mặt
behave          (v) đối xử, ăn ở, cư xử
behaviour               (n) cách đối xử, cách ăn ở,tư cách đạo đức
behind          (prep) (adv) sau, ở đằng sau
believe         (v) tin, tin tưởng
bell            (n) cái chuông, tiếng chuông
belong          (v) thuộc về, của, thuộc quyền sở hữu
below           (prep) (adv) ở dưới, dưới thấp, phía dưới
belt            (n) dây lưng, thắt lưng
bend            (v) (n) chỗ rẽ, chỗ uốn; khuỷu tay; cúi xuống, uốn cong
beneath         (prep) (adv) ở dưới, dưới thấp
benefit         (n) (v) lợi, lợi ích; giúp ích, làm lợi cho
beside          (prep) bên cạnh, so với
bet             (v) (n) đánh cược, cá cược; sự đánh cược
between         (prep) (adv) giữa, ở giữa
beyond          (prep) (adv) ở xa, phía bên kia
bicycle         (n) xe đạp
bid             (v) (n) đặt giá, trả giá; sự đặt giá, sự trả giá
big             (adj) to, lớn
bill            (n) hóa đơn, giấy bạc
bin             (n) thùng, thùng đựng rượu
biology         (n) sinh vật học
bird            (n) chim
birth           (n) sự ra đời, sự sinh đẻ
birthday                (n) ngày sinh, sinh nhật
biscuit         (n) bánh quy
bit             (n) miếng, mảnh
bite            (v) (n) cắn, ngoạm; sự cắn, sự ngoạm
bitter          (adj) đắng; đắng cay, chua xót
black           (adj) (n) đen; màu đen
blade           (n) lưỡi (dao, kiếm); lá (cỏ, cây); mái (chèo); cánh (chong chóng)
blame           (v) (n) khiển trách, mắng trách; sự khiển trách, sự mắng trách
blank           (adj) (n) trống, để trắng; sự trống rỗng
blind           (adj) đui, mù
block           (n) (v) khối, tảng (đá); làm ngăn cản, ngăn chặn
blond           (adj) vàng hoe
blood           (n) máu, huyết; sự tàn sát, chém giết
blow            (v) (n) nở hoa; sự nở hoa
blue            (adj) (n) xanh, màu xanh
board           (n) (v) tấm ván; lát ván, lót ván
boat            (n) tàu, thuyền
body            (n) thân thể, thân xác
boil            (v) sôi, luộc
bomb            (n) (v) quả bom; đánh bom, thả bom
bone            (n) xương
book            (n) (v) sách; ghi chép
boot            (n) khởi động
border          (n) bờ, mép, vỉa, lề (đường)
bore            (n) khoan
bored           (adj) buồn chán
born            (v) sinh, đẻ
borrow          (v) vay, mượn
boss            (n) ông chủ, thủ trưởng
bottle          (n) chai, lọ
bottom          (n) (adj) phần dưới cùng, thấp nhất; cuối, cuối cùng
both            det., pro(n) cả hai
bother          (v) làm phiền, quấy rầy, làm bực mình
bound           (+to) (adj) nhất định, chắc chắn
bowl            (n) cái bát
box             (n) hộp, thùng
brain           (n) óc não; đầu óc, trí não
branch          (n) ngành; nhành cây, nhánh song, ngả đường
brand           (n) nhãn (hàng hóa)
brave           (adj) gan dạ, can đảm
bread           (n) bánh mỳ
break           (v) (n) bẻ gãy, đập vỡ; sự gãy, sự vỡ
breakfast               (n) bữa điểm tâm, bữa sáng
breath          (n) hơi thở, hơi
breathe         (v) hít, thở
breed           (v) (n) nuôi dưỡng, chăm sóc, giáo dục; sinh đẻ; nòi giống
brick           (n) gạch
bridge          (n) cái cầu
brief           (adj) ngắn, gọn, vắn tắt
brilliant               (adj) tỏa sáng, rực rỡ, chói lọi
bring           (v) mang, cầm , xách lại
broad           (adj) rộng
broadcast               (v) (n) tung ra khắp nơi,truyền rộng rãi; phát thanh,quảng bá
brown           (adj) (n) nâu, màu nâu
brush           (n) (v) bàn chải; chải, quét
bubble          (n) bong bóng, bọt, tăm
build           (v) xây dựng
bullet          (n) đạn (súng trường, súng lục)
bunch           (n) búi, chùm, bó, cụm, buồng; bầy, đàn
burn            (v) đốt, đốt cháy, thắp, nung, thiêu
bury            (v) chôn cất, mai táng
bush            (n) bụi cây, bụi rậm
business                (n) việc buôn bán, thương mại, kinh doanh
busy            (adj) bận, bận rộn
butter          (n) bơ
button          (n) cái nút, cái khuy, cúc
buy             (v) mua
buyer           (n) người mua
by              (prep) (adv) bởi, bằng
cabinet         (n) tủ có nhiều ngăn đựng đồ
cable           (n) dây cáp
cake            (n) bánh ngọt
calculate               (v) tính toán
calculation             (n) sự tính toán
call            (v) (n) gọi; tiếng kêu, tiếng gọi
calm            (adj) (v) (n) yên lặng, làm dịu đi; sự yên lặng, sự êm ả
campaign                (n) chiến dịch, cuộc vận động
can             (v) (n) có thể; nhà tù, nhà giam, bình, ca đựng
cancel          (v) hủy bỏ, xóa bỏ
cancer          (n) bệnh ung thư
candidate               (n) người ứng cử, thí sinh, người dự thi
candy           (n) kẹo
cap             (n) mũ lưỡi trai, mũ vả
capacity                (n) năng lực, khả năng tiếp thu, năng suất
capital         (n) (adj) thủ đô, tiền vốn; chủ yếu, chính yếu, cơ bản
captain         (n) người cầm đầu, người chỉ huy, thủ lĩnh
capture         (v) (n) bắt giữ, bắt; sự bắt giữ, sự bị bắt
card            (n) thẻ, thiếp
cardboard               (n) bìa cứng, các tông
care            (n) (v) sự chăm sóc, chăm nom; chăm sóc
career          (n) nghề nghiệp, sự nghiệp
careful         (adj) cẩn thận, cẩn trọng, biết giữ gìn
careless                (adj) sơ suất, cầu thả
carpet          (n) tấm thảm, thảm (cỏ)
carrot          (n) củ cà rốt
carry           (v) mang, vác, khuân chở
case            (n) vỏ, ngăn, túi
cash            (n) tiền, tiền mặt
cast            (v) (n) quăng, ném, thả, đánh gục; sự quăng, sự ném (lưới), sự thả (neo)
castle          (n) thành trì, thành quách
catch           (v) bắt lấy, nắm lấy, tóm lấy, chộp lấy
category                (n) hạng, loại; phạm trù
cause           (n) (v) nguyên nhân, nguyên do; gây ra, gây nên
cease           (v) dừng, ngừng, ngớt, thôi, hết, tạnh
ceiling         (n) trần nhà
celebrate               (v) kỷ niệm, làm lễ kỷ niệm; tán dương, ca tụng
celebration             (n) sự kỷ niệm, lễ kỷ niệm; sự tán dương, sự ca tụng
cell            (n) ô, ngăn
cent            (n) đồng xu
centimeter              (n) xen ti met
century         (n) thế kỷ
ceremony                (n) nghi thức, nghi lễ
certain         (adj),pro(n) chắc chắn
certificate             (n) giấy chứng nhận, bằng, chứng chỉ
cigarette               (n) điếu thuốc lá
cinema          (n) rạp chiếu bóng
circle          (n) đường tròn, hình tròn
circumstance            (n) hoàn cảnh, trường hợp, tình huống
citizen         (n) người thành thị
city            (n) thành phố
civil           (adj) (thuộc) công dân
claim           (v) (n) đòi hỏi, yêu sách; sự đòi hỏi, sự yêu sách, sự thỉnh cầu
clap            (v) (n) vỗ, vỗ tay; tiếng nổ, tiếng vỗ tay
classic         (adj) (n) cổ điển, kinh điển
clean           (adj) (v) sạch, sạch sẽ
clear           (adj) (v) lau chùi, quét dọn
clerk           (n) thư ký, linh mục, mục sư
client          (n) khách hàng
climate         (n) khí hậu, thời tiết
climb           (v) leo, trèo
clock           (n) đồng hồ
close           (v) (adj) gần (mqh), thân thiết,chặt chẽ, đóng, khép, kết thúc
closet          (n) buồng, phòng để đồ, phòng kho
cloth           (n) vải, khăn trải bàn, áo thầy tu
cloud           (n) mây, đám mây
club            (n) câu lạc bộ; gậy, dùi cui
coach           (n) huấn luyện viên
coal            (n) than đá
coast           (n) sự lao dốc; bờ biển
coat            (n) áo choàng
code            (n) mật mã, luật, điều lệ
coin            (n) tiền kim loại
cold            (adj) (n) lạnh, sự lạnh lẽo, lạnh nhạt
coldly          (adv) lạnh nhạt, hờ hững, vô tâm
collapse                (v) (n) đổ, sụp đổ; sự đổ nát, sự sụp đổ
colleague               (n) bạn đồng nghiệp
collect         (v) sưu tập, tập trung lại
collection              (n) sự sưu tập, sự tụ họp
college         (n) trường cao đẳng
color           (n) Màu sắc
column          (n) cột , mục (báo)
combination             (n) sự kết hợp, sự phối hợp
combine         (v) kết hợp, phối hợp
comedy          (n) hài kịch
comfort         (n) (v) sự an ủi, khuyên giải, lời động viên, sự an nhàn
comfortable             (adj) thoải mái, tiện nghi, đầy đủ
comfortably             (adv) dễ chịu, thoải mái, tiện nghi, ấm cúng
command         (v) (n) ra lệnh, chỉ huy; lệnh, mệnh lệnh, quyền ra lệnh, quyền chỉ huy
comment         (n) (v) lời bình luận, lời chú giải; bình luận, phê bình, chú thích, dẫn giải
commercial              (adj) buôn bán, thương mại
commission              (n) (v) hội đồng, ủy ban, sự ủy nhiệm, sự ủy thác,
commit          (v) giao, gửi, ủy nhiệm, ủy thác; tống giam, bỏ tù
commitment              (n) sự phạm tội, sự tận tụy, tận tâm
committee               (n) ủy ban
common          (adj) công, công cộng, thông thường, phổ biến
communicate             (v) truyền, truyền đạt; giao thiệp, liên lạc
communication           (n) sự giao tiếp, liên lạc, sự truyền đạt, truyền tin
community               (n) dân chúng, nhân dân
company         (n) công ty
compare         (v) so sánh, đối chiếu
comparison              (n) sự so sánh
compete         (v) đua tranh, ganh đua, cạnh tranh
competition             (n) sự cạnh tranh, cuộc thi, cuộc thi đấu
competitive             (adj) cạnh tranh, đua tranh
complain                (v) phàn nàn, kêu ca
complaint               (n) lời than phiền, than thở; sự khiếu nại, đơn kiện
complete                (adj) (v) hoàn thành, xong
complex         (adj) phức tạp, rắc rối
complicate              (v) làm phức tạp, rắc rối
computer                (n) máy tính
concentrate             (v) tập trung
concept         (n) khái niệm
concern         (v) (n) liên quan, dính líu tới; sự liên quan, sự dính líu tới
concert         (n) buổi hòa nhạc
conclude                (v) kết luận, kết thúc, chấm dứt (công việc)
conclusion              (n) sự kết thúc, sự kết luận, phần kết luận
concrete                adj., (n) bằng bê tông; bê tông
condition               (n) điều kiện, tình cảnh, tình thế
conduct         (v) (n) điều khiển, chỉ đạo, chỉ huy; sự điều khiển, chỉ huy
conference              (n) hội nghị, sự bàn bạc
confidence              (n) lòng tin tưởng, sự tin cậy
confident               (adj) tin tưởng, tin cậy, tự tin
confine         (v) giam giữ, hạn chế
confirm         (v) xác nhận, chứng thực
conflict                (n) (v) xung đột, va chạm; sự xung đột, sự va chạm
confront                (v) đối mặt, đối diện, đối chiếu
confuse         (v) làm lộn xộn, xáo trộn
confusion               (n) sự lộn xộn, sự rối loạn
connect         (v) kết nối, nối
connection              (n) sự kết nối, sự giao kết
conscious               (adj) tỉnh táo, có ý thức, biết rõ
consequence             (n) kết quả, hậu quả
conservative            (adj) thận trọng, dè dặt, bảo thủ
consider                (v) cân nhắc, xem xét; để ý, quan tâm, lưu ý đến
considerable            (adj) lớn lao, to tát, đáng kể
considerably            (adv) đáng kể, lớn lao, nhiều
consideration           (n) sự cân nhắc, sự xem xét, sự để ý, sự quan tâm
consist         (v) (+of) gồm có
constant                (adj) kiên trì, bền lòng
constantly              (adv) kiên định
construct               (v) xây dựng
construction            (n) sự xây dựng, công trình
consult         (v) tra cứu, tham khảo, thăm dò, hỏi ý kiến
consumer                (n) người tiêu dùng
contact         (n) (v) sự liên lạc, sự giao thiệp; tiếp xúc
contain         (v) bao hàm, chứa đựng, bao gồm
container               (n) cái đựng, chứa; công te nơ
contemporary            (adj) đương thời, đương đại
content         (n) nội dung, sự hài lòng
contest         (n) cuộc thi, trận đấu, cuộc tranh luận, cuộc chiến đấu,chiến tranh
context         (n) văn cảnh, khung cảnh, phạm vi
continent               (n) lục địa, đại lục
continue                (v) tiếp tục, làm tiếp
continuous              (adj) liên tục, liên tiếp
contract                (n) (v) hợp đồng, sự ký hợp đồng; ký kết
contrast                (n) (v) sự tương phản; làm tương phản, trái ngược
contribute              (v) đóng góp, góp phần
contribution            (n) sự đóng góp, sự góp phần
control         (n) (v) sự điều khiển, quyền hành, quyền lực, quyền chỉ huy
convenient              (adj) tiện lợi, thuận lợi, thích hợp
convention              (n) hội nghị, hiệp định, quy ước
conventional            (adj) quy ước
convert         (v) đổi, biến đổi
convince                (v) làm cho tin, thuyết phục; làm cho nhận thức thấy
cook            (v) (n) nấu ăn, người nấu ăn
cookie          (n) bánh quy
cool            (adj) (v) mát mẻ, điềm tĩnh; làm mát
cope            (v + with) đối phó, đương đầu
copy            (n) (v) bản sao, bản chép lại; sự sao chép; sao chép, bắt chước
core            (n) nòng cốt, hạt nhân; đáy lòng
corner          (n) góc (tường, nhà, phố...)
correct         (adj) (v) đúng, chính xác; sửa, sửa chữa
cost            (n) (v) giá, chi phí; trả giá, phải trả
cottage         (n) nhà tranh
cotton          (n) bông, chỉ, sợi
cough           (v) (n) ho, sự ho, tiếng hoa
council         (n) hội đồng
count           (v) đếm, tính
counter         (n) quầy hàng, quầy thu tiền, máy đếm
county          (n) hạt, tỉnh
country         (n) nước, quốc gia, đất nước
countryside             (n) miền quê, miền nông thôn
couple          (n) đôi, cặp
course          (n) tiến trình, quá trình diễn tiến; sân chạy đua
court           (n) sân, sân (tennis...), tòa án, quan tòa, phiên tòa
cousin          (n) anh em họ
cover           (v) (n) bao bọc, che phủ; vỏ, vỏ bọc
cow             (n) con bò cái
crack           (n) (v) cừ, xuất sắc; làm nứt, làm vỡ, nứt nẻ, rạn nứt
craft           (n) nghề, nghề thủ công
crash           (n) (v) vải thô; sự rơi (máy bay), sự phá sản, sụp đổ; phá tan tành
crazy           (adj) điên, mất trí
cream           (n) kem
create          (v) sáng tạo, tạo nên
creature                (n) sinh vật, loài vật
credit          (n) sự tin, lòng tin, danh tiếng; tiền gửi ngân hàng
crime           (n) tội, tội ác, tội phạm
criminal                (adj) (n) có tội, phạm tội; kẻ phạm tội, tội phạm
crisis          (n) sự khủng hoảng, cơn khủng hoảng
crisp           (adj) giòn
criterion               (n) tiêu chuẩn
critical                (adj) phê bình, phê phán; khó tính
criticism               (n) sự phê bình, sự phê phán, lời phê bình, lời phê phán
criticize               (v) phê bình, phê phán, chỉ trích
crop            (n) vụ mùa
cross           (n) (v) cây Thánh Giá, nỗi thống khổ; sự băng qua; băng qua, vượt qua
crowd           (n) đám đông
crown           (n) vương miện, vua, ngai vàng; đỉnh cao nhất
crucial         (adj) quyết định, cốt yếu, chủ yếu
cruel           (adj) độc ác, dữ tợn, tàn nhẫn
crush           (v) ép, vắt, đè nát, đè bẹp
cry             (v) (n) khóc, kêu la; sự khóc, tiếng khóc, sự kêu la
culture         (n) văn hóa, sự mở mang, sự giáo dục
cup             (n) tách, chén
cupboard                (n) 1 loại tủ có ngăn
curb            (v) kiềm chế, nén lại, hạn chế
cure            (v) (n) chữa trị, điều trị; cách chữa bệnh, cách điều trị; thuốc
curious         (adj) ham muốn, tò mò, lạ lùng
curl            (v) (n) quăn, xoắn, uốn quăn, làm xoắn; sự uốn quăn
curly           (adj) quăn, xoắn
custom          (n) phong tục, tục lệ, thói quen, tập quán
cut             (v) (n) cắt, chặt; sự cắt
cycle           (n) (v) chu kỳ, chu trình, vòng; quay vòng theo chu kỳ, đi xe đạp
cycling         (n) sự đi xe đạp
chair           (n) ghế
chairman                (n) chủ tịch, chủ tọa
challenge               (n) (v) sự thử thách, sự thách thức; thách thức, thử thách
chamber         (n) buồng, phòng, buồng ngủ
chance          (n) sự may mắn
channel         (n) kênh (TV, radio), eo biển
change          (v) (n) thay đổi, sự thay đổi, sự biến đổi
chapter         (n) chương (sách)
character               (n) tính cách, đặc tính, nhân vật
charity         (n) lòng từ thiện, lòng nhân đức; sự bố thí
chart           (n) (v) đồ thị, biểu đồ; vẽ đồ thị, lập biểu đồ
chase           (v) (n) săn bắt; sự săn bắt
chat            (v) (n) nói chuyện, tán gẫu; chuyện phiếm, chuyện gẫu
cheap           (adj) rẻ
cheat           (v) (n) lừa, lừa đảo; trò lừa đảo, trò gian lận
check           (v) (n) kiểm tra; sự kiểm tra
cheek           (n) má
cheerful                (adj) vui mừng, phấn khởi, hồ hởi
cheese          (n) pho mát
chemical                (adj) (n) thuộc hóa học; chất hóa học, hóa chất
chemist         (n) nhà hóa học
chemistry               (n) hóa học, môn hóa học, ngành hóa học
cheque          (n) séc
chest           (n) tủ, rương, hòm
chew            (v) nhai, ngẫm nghĩ
chicken         (n) gà, gà con, thịt gà
chief           (adj) (n) trọng yếu, chính yếu; thủ lĩnh, lãnh tụ, người đứng đầu, sếp
child           (n) đứa bé, đứa trẻ
chin            (n) cằm
chip            (n) vỏ bào, mảnh vỡ, chỗ sứt, mẻ
choice          (n) sự lựa chọn
choose          (v) chọn, lựa chọn
daily           (adj) hàng ngày
damage          (n) (v) mối hại, điều hại, sự thiệt hại; làm hư hại, làm hỏng
dance           (n) (v) sự nhảy múa, sự khiêu vũ; nhảy múa, khiêu vũ
dancer          (n) diễn viên múa, người nhảy múa
danger  t(n) sự nguy hiểm, mối hiểm nghèo; nguy cơ, mối đe dọa
dangerous       t(adj) nguy hiểm
dare    t(v) dám, dám đương đầu với; thách
dark    t(adj) (n) tối, tối tăm; bóng tối, ám muội
data    t(n) số liệu, dữ liệu
date    t(n) (v) ngày, kỳ, kỳ hạn, thời kỳ
daughter        t(n) con gái
day     t(n) ngày, ban ngày
dead    t(adj) chết, tắt
deaf    t(adj) điếc, làm thinh, làm ngơ
dear    t(adj) thân, thân yêu, thân mến; kính thưa, thưa
death   t(n) sự chết, cái chết
debt    t(n) nợ
decade  t(n) thập kỷ, bộ mười, nhóm mười
decay   t(n) (v) tình trạng suy tàn, suy sụp, tình trạng đổ nát
december        t(n)tháng mười hai, tháng Chạp
decide  t(v) quyết định, giải quyết, phân xử
decision        t(n) sự quyết định, sự giải quyết, sự phân xử
declare t(v) tuyên bố, công bố
decorate        t(v) trang hoàng, trang trí
decoration      t(n) sự trang hoàng, đồ trang hoàng, trang trí
decorative      t(adj) để trang hoàng, để trang trí, để làm cảnh
decrease        t(v) (n) giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút
deep    t(adj) (adv) sâu, khó lường, bí ẩn
defeat  t(v) (n) đánh bại, sự thất bại
defend  t(v) che chở, bảo vệ, bào chữa
define  t(v) định nghĩa
definite        t(adj) xác định, định rõ, rõ ràng
definition      t(n) sự định nghĩa, lời định nghĩa
degree  t(n) mức độ, trình độ; bằng cấp; độ
delay   t(n) (v) sự chậm trễ, sự trì hoãn, sự cản trở; làm chậm trễ
deliberate      t(adj) thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc
delicate        t(adj) thanh nhã, thanh tú, tế nhị, khó xử
delight t(n) (v) sự vui thích, sự vui sướng
deliver t(v) cứu khỏi, thoát khỏi, bày tỏ, giãi bày
delivery        t(n) sự phân phát, sự phân phối
demand  t(n) (v) sự đòi hỏi, sự yêu cầu; đòi hỏi, yêu cầu
demonstrate     t(v) chứng minh, giải thích; bày tỏ, biểu lộ
dentist t(n) nha sĩ
deny    t(v) từ chối, phản đối, phủ nhận
department      t(n) cục, sở, ty, ban, khoa; gian hàng, khu bày hàng
departure       t(n) sự rời khỏi, sự đi, sự khởi hành
depend  t(v) phụ thuộc, tùy thuộc; dựa vào, ỷ vào, trông mong vào
deposit t(n) (v) vật gửi, tiền gửi, tiền đặt cọc; gửi, đặt cọc
depress t(v) làm chán nản, làm phiền muộn; làm suy giảm
depth   t(n) chiều sâu, độ dày
derive  t(v) nhận được từ, lấy được từ;
description     t(n) sự mô tả, sự tả, sự miêu tả
desert  t(n) sa mạc; công 
deserve t(v) đáng, xứng đáng
design  t(n) (v) sự thiết kế, kế hoạch, đề cương. phác thảo
desire  t(n) (v) ước muốn; thèm muốn, ao ước
desk    t(n) bàn (học sinh, viết, làm việc)
destroy t(v) phá, phá hoại, phá huỷ, tiêu diệt, triệt phá
destruction     t(n) sự phá hoại, sự phá hủy, sự tiêu diệt
detail  t(n) (v) chi tiết
determination   t(n) sự xác định, sự định rõ; sự quyết định
determine       t(v) xác định, định rõ; quyết định
determined      t(adj) đã được xác định, đã được xác định rõ
develop t(v) phát triển, mở rộng; trình bày, bày tỏ
development     t(n) sự phát triển, sự trình bày, sự bày tỏ
device  t(n) kế sách; thiết bị, dụng cụ, máy móc
devote  t(v) hiến dâng, dành hết cho
diagram t(n) biểu đồ
diamond t(n) kim cương
diary   t(n) sổ nhật ký; lịch ghi nhớ
dictionary      t(n) từ điển
die     t(v) chết, từ trần, hy sinh
diet    t(n) chế độ ăn uống, chế độ ăn kiêng
difference      t(n) sự khác nhau
different       t(adj) khác, khác biệt, khác nhau
difficult       t(adj) khó, khó khăn, gay go
dig     t(v) đào bới, xới
dinner  t(n) bữa trưa, chiều
